Siglas,Nombre ,Coordinador,Web,Enlace a logo pequeño (75 pixels de ancho y 75 pixels de alto) del grupo,Enlace a logo grande (200 pixels de ancho) del grupo,Siglas Universidad,Nombre Universidad,Enlace a logo (100 pixels de ancho y 100 pixels de alto) de la universidad,Web Universidad
UMA,,Ernesto Pimentel Sánchez,,,,UMA,Universidad de Málaga,img/logoUMA.png,http://www.uma.es
URJC,,Esperanza Marcos Martínez,,,,URJC,Universidad Rey Juan Carlos,img/logoURJC.png,https://www.urjc.es/
UPC,,Xavier Franch Gutiérrez,,,,UPC,Universidad Politécnica de Cataluña,img/logoUPC.gif,http://www.upc.edu/
UPV,,Vicente Pelechano Ferragud,,,,UPV,Universidad Politécnica de Valencia,img/logoUPV.png,http://www.upv.es/
QUERCUS,QUERCUS Software Engineering Group,Juan Manuel Murillo Rodríguez,http://www.unex.es/investigacion/grupos/quercus,https://photos-5.dropbox.com/t/2/AAB9J7LPCzHS06yktYEiaRLp8ErebKLtyBPkLjUNcy3yPQ/12/19064581/png/32x32/1/1437649200/0/2/Logo%20Quercus%2075.png/CIXOiwkgASACIAcoASgCKAc/jrswH2lr5lHAgpRrSl_YcYHL203SOVxCSWfpU57PpjE?size=1024x768&size_mode=2,https://photos-5.dropbox.com/t/2/AAAT3fYVkCuetqrUuNw3MF_SCwE-VtPixrJbakKqB7Ip-A/12/19064581/png/32x32/1/1437649200/0/2/Logo%20Quercus%20200.png/CIXOiwkgASACIAcoASgCKAc/4uGBO9eAHvVSBprP0ING4bq38pY31QarpfpXpxbyqug?size=1024x768&size_mode=2,UEX,Universidad de Extremadura,img/logoEX.png,http://www.unex.es/
UCLM,,Felix Óscar García Rubio,,,,UCLM,Universidad de Castilla y la Mancha,img/logoUCLM.gif,http://www.uclm.es/
CiTIUS,,Manuel Lama Penín,,,,USC,Universidad de Santiago de Compostela,img/logoUSC.png,http://www.usc.es/
UCA,Grupo UCASE de Ingeniería del Software,Guadalupe Ortiz Bellot,https://ucase.uca.es/,https://ucase.uca.es/sites/default/files/logo_ucase.png,,UCA,Universidad de Cádiz,img/logoUCA.png,http://www.uca.es
UZA,,Pedro Álvarez Pérez-Aradros,,,,UZA,Universidad de Zaragoza,img/logoZA.png,http://www.unizar.es/
ISA,Grupo de Ingeniería del Software Aplicada,Antonio Ruiz Cortés,http://www.isa.us.es,http://www.isa.us.es/logos/logo-isa-75.jpg,http://www.isa.us.es/logos/logo-isa-200.jpg,US,Universidad de Sevilla,img/logoUS.png,http://www.us.es
