BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"","wsag","Andrieux, Alain; Czajkowski, Karl; Dan, Asit; Keahey, Kate; Ludwig, Heiko; Nakata, Toshiyuki; Pruyne, Jim; Rofrano, John; Tuecke, Steve & Xu, Ming","Web services agreement specification (WS-Agreement)","",128,,"","",2007,"","","","Open Grid Forum","","","","","","","","","","","","","","","",""
10,"","WS-AGREEMENT","Andrieux, A.; Czakowski, K.; Dan, A.; Keahey, K.; Ludwig, H.; Nakata, T.; Pruyne, J.; Rofrano, J.; Tuecke, S. & Xu, M.","Web Services Agreement Specification (WS-Agreement) Version 1.1 Draft 20","",,,"September","",2006,"","","","","","","","","Global Grid Forum","","","","","","","","","","",""
7,"","Benavides10","Benavides, D.; Segura, S. & Ruiz-Cortés, A.","Automated Analysis of Feature Models 20 Years Later: A Literature Review","Information Systems",35,6,"","615--636",2010,"","","","","","","","","Elsevier","","","","","","","","","","",""
7,"","cost-effectiveness","Brumec, Slaven & Vr{\v{c}}ek, Neven","Cost effectiveness of commercial computing clouds","Information Systems",38,4,"","495--508",2013,"","","","","","","","","Elsevier","","","","","","","","","","",""
6,"","Chhetri12","Chhetri, M.; Vo, Q. Bao & Kowalczyk, R.","Policy-based Automation of SLA Establishment for Cloud Computing Services","",,,"","164--171",2012,"Ottawa, Canada","","","12$^{nd}$ Intl. Symp. on Cluster, Cloud, and Grid Computing","","","","","","","","","","","","","","","",""
10,"","wsdl","Christensen, Erik; Curbera, Francisco; Meredith, Greg; Weerawarana, Sanjiva & others","Web services description language (WSDL) 1.1","",,,"","",2001,"","","","","","","","","","","","","","","","","","","",""
7,"","service-model-pricing","Chun, Se-Hak & Choi, Byong-Sam","Service models and pricing schemes for cloud computing","Cluster Computing",17,2,"","529--535",2014,"","","","","","","","","Springer","","","","","","","","","","",""
10,"","Cloudorado","Cloudorado.com","Cloud Computing Price Comparison Engine","",,,"","",,"","\url{http://www.cloudorado.com/}","","","","","","","","","","","","","","","","","",""
10,"","CloudScreener","CloudScreener.com","Cloud Computing Comparison and Evaluation","",,,"","",,"","\url{http://www.cloudscreener.com/}","","","","","","","","","","","","","","","","","",""
6,"","Galan13","Galán, J. García; Rana, O.; Trinidad, P. & Ruiz-Cortés, A.","Migrating to the Cloud: a Software Product Line based Analysis","",,,"","416--426",2013,"Aachen, Germany","","","3$^{rd}$ Intl. Conf. on Cloud Computing and Service Science","","","","","","","","","","","","","","","",""
